C:\Users\jonathans\PycharmProjects\PSSEDYN\SampleSystem\OUT\out_dyntools_demo_bus154_fault.out
                     1              2              21             22      
        Time(s) ANGL 2[BUS 2 1 ANGL 3[BUS 3 1 VOLT 2 [BUS 2  VOLT 3 [BUS 3 
                       8.000]1        3.800]1        18.000]        13.800]
        3.55002       -99.9992       -86.2269        0.96833         1.0734
        3.55835       -100.037       -86.2652       0.968337         1.0734
        3.56669       -100.076       -86.3035       0.968343        1.07341
        3.57502       -100.114        -86.342       0.968349        1.07341
        3.58335       -100.153       -86.3805       0.968356        1.07342
        3.59169       -100.191       -86.4191       0.968362        1.07342
        3.60002        -100.23       -86.4578       0.968369        1.07343
        3.60835       -100.269       -86.4965       0.968375        1.07343
        3.61669       -100.307       -86.5353       0.968382        1.07344
        3.62502       -100.346       -86.5742       0.968389        1.07344
        3.63335       -100.385       -86.6132       0.968395        1.07345
        3.64169       -100.424       -86.6522       0.968402        1.07345
        3.65002       -100.463       -86.6913       0.968409        1.07345
        3.65835       -100.502       -86.7305       0.968416        1.07346
        3.66669       -100.541       -86.7698       0.968423        1.07346
        3.67502       -100.581       -86.8091       0.968429        1.07347
        3.68335        -100.62       -86.8485       0.968436        1.07347
        3.69169        -100.66        -86.888       0.968443        1.07348
        3.70002       -100.699       -86.9276        0.96845        1.07348
        3.70835       -100.739       -86.9672       0.968457        1.07349
        3.71669       -100.778       -87.0069       0.968464        1.07349
        3.72502       -100.818       -87.0467       0.968471         1.0735
        3.73335       -100.858       -87.0865       0.968479         1.0735
        3.74169       -100.898       -87.1264       0.968486        1.07351
        3.75002       -100.937       -87.1664       0.968493        1.07351
        3.75836       -100.977       -87.2065         0.9685        1.07352
        3.76669       -101.018       -87.2467       0.968507        1.07353
        3.77502       -101.058       -87.2869       0.968515        1.07353
        3.78336       -101.098       -87.3272       0.968522        1.07354
        3.79169       -101.138       -87.3675       0.968529        1.07354
        3.80002       -101.179        -87.408       0.968536        1.07355
        3.80836       -101.219       -87.4485       0.968544        1.07355
        3.81669       -101.259       -87.4891       0.968551        1.07356
        3.82502         -101.3       -87.5297       0.968559        1.07356
        3.83336       -101.341       -87.5705       0.968566        1.07357
        3.84169       -101.381       -87.6113       0.968574        1.07357
        3.85002       -101.422       -87.6521       0.968581        1.07358
        3.85836       -101.463       -87.6931       0.968588        1.07358
        3.86669       -101.504       -87.7341       0.968596        1.07359
        3.87502       -101.545       -87.7752       0.968604        1.07359
        3.88336       -101.586       -87.8164       0.968611         1.0736
        3.89169       -101.627       -87.8576       0.968619        1.07361
        3.90002       -101.668       -87.8989       0.968626        1.07361
        3.90836        -101.71       -87.9403       0.968634        1.07362
        3.91669       -101.751       -87.9817       0.968641        1.07362
        3.92502       -101.792       -88.0233       0.968649        1.07363
        3.93336       -101.834       -88.0649       0.968657        1.07363
        3.94169       -101.875       -88.1065       0.968664        1.07364
        3.95002       -101.917       -88.1483       0.968672        1.07365
        3.95836       -101.959       -88.1901        0.96868        1.07365
        3.96669       -102.001        -88.232       0.968688        1.07366
        3.97502       -102.042       -88.2739       0.968695        1.07366
